City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
108,Shingu,JP,70.52,light rain,33.7333,135.9833,Shingu UI Hotel
112,Bull Savanna,JM,75.34,scattered clouds,17.8868,-77.5902,Big Red's
119,Axim,GH,78.66,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
121,Kulhudhuffushi,MV,82.53,moderate rain,6.6221,73.07,Haajy Guest House 1
124,Tautira,PF,80.28,light rain,-17.7333,-149.15,Pension Oaoa
126,Butaritari,KI,81.37,clear sky,3.0707,172.7902,Isles Sunset Lodge
130,Road Town,VG,78.89,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
135,Vangaindrano,MG,70.79,broken clouds,-23.35,47.6,Hotel Fanilo
136,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
138,Barra Do Corda,BR,74.89,overcast clouds,-5.5,-45.25,Belchior Palace Hotel
142,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
143,Saint-Pierre,RE,75.9,few clouds,-21.3393,55.4781,Alize Plage
144,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
146,Jimeta,NG,81.93,overcast clouds,9.2833,12.4667,Yola International Hotel
148,Wanning,CN,88.77,broken clouds,18.8003,110.3967,Paradise Hotel
149,Sibu,MY,89.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
151,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
156,Bandiagara,ML,82.0,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
158,Manoel Urbano,BR,73.29,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
161,Kisangani,CD,70.07,overcast clouds,0.5167,25.2,Grand Ramela Hotel
163,Sakakah,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
166,Maumere,ID,84.63,broken clouds,-8.6199,122.2111,Sylvia Hotel
167,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
170,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
173,Shimoda,JP,70.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
179,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
180,Vaitape,PF,81.48,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
182,Palu,ID,87.31,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
183,Sao Felix Do Xingu,BR,72.3,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
188,Kavieng,PG,84.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
198,Luoyang,CN,79.79,overcast clouds,34.6836,112.4536,易家国际青年旅舍
199,Alice Town,BS,79.48,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
200,Astrea,CO,75.06,overcast clouds,9.4983,-73.9759,Hotel y restaurante central
201,Tecoanapa,MX,82.49,overcast clouds,16.5167,-98.75,Hotel Manglares
202,Mattru,SL,73.92,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
203,Kirksville,US,70.05,clear sky,40.1948,-92.5833,Budget Host-Village Inn
204,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
205,Mangrol,IN,87.71,clear sky,21.1167,70.1167,Hotel The Royal Honours
207,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
208,Matara,LK,82.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
210,Topchikha,RU,70.07,light rain,52.8192,83.1185,Gostinitsa
213,Myrtle Beach,US,71.65,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
214,Caucaia,BR,82.04,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
215,Touros,BR,76.05,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
225,Port-Gentil,GA,80.11,moderate rain,-0.7193,8.7815,Fengshui Residence
235,Harper,LR,77.68,overcast clouds,4.375,-7.7169,Screensaver
